,KCNTOMS,QPROREL,UAVLEGM,UAVLEGS,KLAMPO95,KLAMPO147,KLAMPO148,KLAMPO149,ZVCT,ZINST63,KBCDO17,KBCDO18,KBCDO19,KBCDO20,KBCDO21,KBCDO22,KLAMPO224,KLAMPO22,KLAMPO150,KLAMPO244,KLAMPO241,KLAMPO242,KLAMPO243,KLAMPO181,KLAMPO182,KLAMPO183,CAXOFF,R,S,UP_D,UP_O,DOWN_D,DOWN_O,Act,time
81,479,0.02515427954494953,292.1698913574219,291.70001220703125,0,0,0,0,81.9930419921875,26.20317268371582,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6101642847061157,0.02059961357421855,80,294.10993,296.10993,292.10993,290.10993,0,405
82,485,0.02545345202088356,292.2143249511719,291.70001220703125,0,0,0,0,82.03961181640625,26.12885856628418,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6099227666854858,0.021798699023437392,81,294.12439,296.12439,292.12439,290.12439,0,410
83,491,0.025699837133288383,292.3005676269531,291.70001220703125,0,0,0,0,82.08507537841797,26.156944274902344,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.609720766544342,0.023234352539061545,82,294.13885000000005,296.13885000000005,292.13885000000005,290.13885000000005,0,415
84,497,0.025897853076457977,292.38385009765625,291.70001220703125,0,0,0,0,82.1294937133789,26.1834659576416,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6095989346504211,0.024610801953124338,83,294.15331000000003,296.15331000000003,292.15331000000003,290.15331000000003,0,420
85,503,0.02606864459812641,292.44921875,291.70001220703125,0,0,0,0,82.1728744506836,26.177352905273438,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6095082759857178,0.025628974999999627,84,294.16777,296.16777,292.16777,290.16777,0,425
86,508,0.026201369240880013,292.4906921386719,291.70001220703125,0,0,0,0,82.208251953125,26.148313522338867,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6094380021095276,0.02621744277343737,85,294.17982,296.17982,292.17982,290.17982,0,430
87,515,0.026381105184555054,292.532470703125,291.70001220703125,0,0,0,0,82.25659942626953,26.077838897705078,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6093491911888123,0.02671561406249907,86,294.19669000000005,296.19669000000005,292.19669000000005,290.19669000000005,2,435
88,521,0.026456011459231377,292.5518493652344,291.70001220703125,0,0,0,0,82.29695892333984,25.987485885620117,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6109333038330078,0.02581398730468686,87,294.21115000000003,296.21115000000003,292.21115000000003,290.21115000000003,0,440
89,527,0.026481665670871735,292.5535888671875,291.70001220703125,0,0,0,0,82.3363265991211,25.865278244018555,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6110239624977112,0.02655957734374965,88,294.22561,296.22561,292.22561,290.22561,1,445
90,533,0.026601264253258705,292.5433654785156,291.70001220703125,0,0,0,0,82.3747329711914,25.715456008911133,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6094246506690979,0.02506590957031244,89,294.24007,296.24007,292.24007,290.24007,0,450
91,539,0.02683311328291893,292.5322570800781,291.70001220703125,0,0,0,0,82.41217803955078,25.559202194213867,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6092838048934937,0.025554541601561596,90,294.25453000000005,296.25453000000005,292.25453000000005,290.25453000000005,1,455
